"elapsed.time","NH3.bg","valve","NH3.DFC","date.time","days","treatment","group","NH3_corr","date.time.weather","date","time","temp","air.temp.K","air.flow","dfc.area","n","NH3.flux","cum.treat"
20,63.673471939,2,37.7492156,2024-09-19 03:00:00,0.833333333333333,"0-bp","No acid",-25.924256339,2024-09-19 08:00:00,2024-09-19,3,9.5,282.65,2280,0.38465,-1.11773768417509e-09,-0.0927993278038017,255.267763198283
20,63.673471939,6,60.252446317,2024-09-19 03:00:00,0.833333333333333,"0-bp","No acid",-3.421025622,2024-09-19 08:00:00,2024-09-19,3,9.5,282.65,2280,0.38465,-1.47499284308706e-10,-0.0122460167794124,306.094279232784
20,63.673471939,14,126.69738651,2024-09-19 04:00:00,0.833333333333333,"0-bp","No acid",63.023914571,2024-09-19 09:00:00,2024-09-19,4,9.7,282.85,2280,0.38465,2.71538720758384e-09,0.2254429739271,134.759099049534
23,100.360761508333,2,106.80360952,2024-09-19 05:00:00,0.958333333333333,"0-bp","No acid",6.44284801166667,2024-09-19 10:00:00,2024-09-19,5,10,283.15,2280,0.38465,2.77296186088481e-10,0.0230223066072612,248.987831290594
23,100.360761508333,6,98.456289778,2024-09-19 06:00:00,0.958333333333333,"0-bp","No acid",-1.90447173033333,2024-09-19 11:00:00,2024-09-19,6,10.2,283.35,2280,0.38465,-8.19094273054588e-11,-0.00680046839464907,304.380095567119
23,100.360761508333,14,155.47942757,2024-09-19 07:00:00,0.958333333333333,"0-bp","No acid",55.1186660616667,2024-09-19 12:00:00,2024-09-19,7,11.1,284.25,2280,0.38465,2.36309293182804e-09,0.196194007517425,172.706427379541
25,115.501356475667,2,109.3796079,2024-09-19 08:00:00,1.04166666666667,"0-bp","No acid",-6.12174857566667,2024-09-19 13:00:00,2024-09-19,8,12.9,286.05,2280,0.38465,-2.60805119836272e-10,-0.0216531482755347,249.069980790498
25,115.501356475667,6,97.144623491,2024-09-19 08:00:00,1.04166666666667,"0-bp","No acid",-18.3567329846667,2024-09-19 13:00:00,2024-09-19,8,12.9,286.05,2280,0.38465,-7.82052690778315e-10,-0.0649293345289176,300.076307391705
25,115.501356475667,14,173.3495582,2024-09-19 09:00:00,1.04166666666667,"0-bp","No acid",57.8482017243333,2024-09-19 14:00:00,2024-09-19,9,14.6,287.75,2280,0.38465,2.44994935418466e-09,0.203405196443283,196.682379617184
28,76.76750531,2,86.381074553,2024-09-19 10:00:00,1.16666666666667,"0-bp","No acid",9.613569243,2024-09-19 15:00:00,2024-09-19,10,16.7,289.85,2280,0.38465,4.04197785672143e-10,0.0335582161550207,250.141436899651
28,76.76750531,6,74.758192403,2024-09-19 11:00:00,1.16666666666667,"0-bp","No acid",-2.00931290700001,2024-09-19 16:00:00,2024-09-19,11,18.7,291.85,2280,0.38465,-8.39016404581687e-11,-0.00696587038836445,293.605738949149
28,76.76750531,14,117.21458259,2024-09-19 12:00:00,1.16666666666667,"0-bp","No acid",40.44707728,2024-09-19 17:00:00,2024-09-19,12,19.8,292.95,2280,0.38465,1.68258192192533e-09,0.139695094421671,227.561405795029
30,44.5233549126667,2,47.391409047,2024-09-19 13:00:00,1.25,"0-bp","No acid",2.86805413433333,2024-09-19 18:00:00,2024-09-19,13,20.5,293.65,2280,0.38465,1.19025472762929e-10,0.00988200006165244,252.747849872652
30,44.5233549126667,6,42.809142888,2024-09-19 13:00:00,1.25,"0-bp","No acid",-1.71421202466667,2024-09-19 18:00:00,2024-09-19,13,20.5,293.65,2280,0.38465,-7.114053190606e-11,-0.00590638898012955,292.83340338704
30,44.5233549126667,14,62.729509264,2024-09-19 14:00:00,1.25,"0-bp","No acid",18.2061543513333,2024-09-19 19:00:00,2024-09-19,14,21,294.15,2280,0.38465,7.54278873167013e-10,0.0626234342793645,239.700517517092
33,35.8358431336667,2,29.826087434,2024-09-19 15:00:00,1.375,"0-bp","No acid",-6.00975569966666,2024-09-19 20:00:00,2024-09-19,15,21.1,294.25,2280,0.38465,-2.48898868599684e-10,-0.0206646407508609,251.777412210623
33,35.8358431336667,6,29.992562734,2024-09-19 16:00:00,1.375,"0-bp","No acid",-5.84328039966666,2024-09-19 21:00:00,2024-09-19,16,20.5,293.65,2280,0.38465,-2.42498634781991e-10,-0.0201332661676488,290.489834423739
33,35.8358431336667,14,49.825260667,2024-09-19 17:00:00,1.375,"0-bp","No acid",13.9894175333333,2024-09-19 22:00:00,2024-09-19,17,18.9,292.05,2280,0.38465,5.83747451933943e-10,0.0484651917114447,249.698493856264
35,33.754544017,2,24.87451252,2024-09-19 18:00:00,1.45833333333333,"0-bp","No acid",-8.880031497,2024-09-19 23:00:00,2024-09-19,18,16.6,289.75,2280,0.38465,-3.73485407012313e-10,-0.0310083440917992,248.677033120063
35,33.754544017,6,28.795953807,2024-09-19 18:00:00,1.45833333333333,"0-bp","No acid",-4.95859021,2024-09-19 23:00:00,2024-09-19,18,16.6,289.75,2280,0.38465,-2.08553436259183e-10,-0.0173149916747313,288.242938953197
35,33.754544017,14,46.785914378,2024-09-19 19:00:00,1.45833333333333,"0-bp","No acid",13.031370361,2024-09-20,2024-09-19,19,14.5,287.65,2280,0.38465,5.52087971996253e-10,0.0458366872792944,255.356606595709
38,33.8509197063333,2,25.222970069,2024-09-19 20:00:00,1.58333333333333,"0-bp","No acid",-8.62794963733334,2024-09-20 01:00:00,2024-09-19,20,13.6,286.75,2280,0.38465,-3.66679601581151e-10,-0.0304432972314158,243.146385400974
38,33.8509197063333,6,30.064291733,2024-09-19 21:00:00,1.58333333333333,"0-bp","No acid",-3.78662797333334,2024-09-20 02:00:00,2024-09-19,21,12.9,286.05,2280,0.38465,-1.61321875629796e-10,-0.0133936269935661,285.47916327305
38,33.8509197063333,14,45.88363453,2024-09-19 22:00:00,1.58333333333333,"0-bp","No acid",12.0327148236667,2024-09-20 03:00:00,2024-09-19,22,12.5,285.65,2280,0.38465,5.1334811492768e-10,0.0426203398785784,263.317739039917
41,33.2533985476667,2,24.86548211,2024-09-19 23:00:00,1.70833333333333,"0-bp","No acid",-8.38791643766666,2024-09-20 04:00:00,2024-09-19,23,12.5,285.65,2280,0.38465,-3.57851171123738e-10,-0.0297103234544646,237.732559539245
41,33.2533985476667,6,32.234131516,2024-09-19 23:00:00,1.70833333333333,"0-bp","No acid",-1.01926703166666,2024-09-20 04:00:00,2024-09-19,23,12.5,285.65,2280,0.38465,-4.348468462702e-11,-0.00361028312839423,283.948811362073
41,33.2533985476667,14,50.750848637,2024-09-20,1.70833333333333,"0-bp","No acid",17.4974500893333,2024-09-20 05:00:00,2024-09-20,0,12.4,285.55,2280,0.38465,7.46749902981878e-10,0.0619983472109697,272.733420877977
43,36.9494635696667,2,28.646383654,2024-09-20 01:00:00,1.79166666666667,"0-bp","No acid",-8.30307991566666,2024-09-20 06:00:00,2024-09-20,1,12,285.15,2280,0.38465,-3.54852948364883e-10,-0.0294613982723159,234.182256235638
43,36.9494635696667,6,38.505041353,2024-09-20 02:00:00,1.79166666666667,"0-bp","No acid",1.55557778333334,2024-09-20 07:00:00,2024-09-20,2,11.3,284.45,2280,0.38465,6.66451223846395e-11,0.00553316099676912,284.064184034176
43,36.9494635696667,14,60.11393743,2024-09-20 03:00:00,1.79166666666667,"0-bp","No acid",23.1644738603333,2024-09-20 08:00:00,2024-09-20,3,11.3,284.45,2280,0.38465,9.92428158809004e-10,0.0823955990166057,281.397057651631
46,49.5548368516667,2,35.186061377,2024-09-20 04:00:00,1.91666666666667,"0-bp","No acid",-14.3687754746667,2024-09-20 09:00:00,2024-09-20,4,11.7,284.85,2280,0.38465,-6.14732410152528e-10,-0.0510376944868483,226.937337887313
46,49.5548368516667,6,55.415482607,2024-09-20 04:00:00,1.91666666666667,"0-bp","No acid",5.86064575533334,2024-09-20 09:00:00,2024-09-20,4,11.7,284.85,2280,0.38465,2.50733188543321e-10,0.0208169337800364,286.435692564088
46,49.5548368516667,14,85.343032492,2024-09-20 05:00:00,1.91666666666667,"0-bp","No acid",35.7881956403333,2024-09-20 10:00:00,2024-09-20,5,12.2,285.35,2280,0.38465,1.5284262992764e-09,0.126896440174315,300.233341178814
48,83.5793547073333,2,62.873928442,2024-09-20 06:00:00,2,"0-bp","No acid",-20.7054262653333,2024-09-20 11:00:00,2024-09-20,6,12.4,285.55,2280,0.38465,-8.836587603277e-10,-0.0733651017831352,219.473170111114
48,83.5793547073333,6,87.486060013,2024-09-20 07:00:00,2,"0-bp","No acid",3.90670530566666,2024-09-20 12:00:00,2024-09-20,7,12.6,285.75,2280,0.38465,1.66612272992372e-10,0.0138328582425549,288.514680085444
48,83.5793547073333,14,139.05331308,2024-09-20 08:00:00,2,"0-bp","No acid",55.4739583726667,2024-09-20 13:00:00,2024-09-20,8,12.9,286.05,2280,0.38465,2.36335945234407e-09,0.196216135182157,319.620095700202
51,99.014606523,2,88.621644095,2024-09-20 09:00:00,2.125,"0-bp","No acid",-10.392962428,2024-09-20 14:00:00,2024-09-20,9,13.2,286.35,2280,0.38465,-4.4230795037624e-10,-0.0367222838223308,209.565305406622
51,99.014606523,6,103.03921842,2024-09-20 09:00:00,2.125,"0-bp","No acid",4.024611897,2024-09-20 14:00:00,2024-09-20,9,13.2,286.35,2280,0.38465,1.71281080977069e-10,0.0142204825024855,291.039480752498
51,99.014606523,14,143.94335271,2024-09-20 11:00:00,2.125,"0-bp","No acid",44.928746187,2024-09-20 16:00:00,2024-09-20,11,14.1,287.25,2280,0.38465,1.90610507492781e-09,0.158252935533135,351.522312064579
53,56.0737788303333,2,76.48379713,2024-09-20 11:00:00,2.20833333333333,"0-bp","No acid",20.4100182996667,2024-09-20 16:00:00,2024-09-20,11,14.1,287.25,2280,0.38465,8.65896397340837e-10,0.0718903949993118,211.675392077241
53,56.0737788303333,6,64.400759224,2024-09-20 12:00:00,2.20833333333333,"0-bp","No acid",8.32698039366667,2024-09-20 17:00:00,2024-09-20,12,15.3,288.45,2280,0.38465,3.5180302931e-10,0.0292081810441984,293.645200565299
53,56.0737788303333,14,82.021356367,2024-09-20 13:00:00,2.20833333333333,"0-bp","No acid",25.9475775366667,2024-09-20 18:00:00,2024-09-20,13,17.1,290.25,2280,0.38465,1.08944965564956e-09,0.0904507355811095,366.444532331433
56,38.7826867666667,2,32.632702181,2024-09-20 14:00:00,2.33333333333333,"0-bp","No acid",-6.14998458566667,2024-09-20 19:00:00,2024-09-20,14,18.8,291.95,2280,0.38465,-2.56713154663548e-10,-0.0213134159547929,216.227320191248
56,38.7826867666667,6,34.478229855,2024-09-20 15:00:00,2.33333333333333,"0-bp","No acid",-4.30445691166666,2024-09-20 20:00:00,2024-09-20,15,19.5,292.65,2280,0.38465,-1.79247213210535e-10,-0.0148818646200683,294.93456904347
56,38.7826867666667,14,56.913173994,2024-09-20 16:00:00,2.33333333333333,"0-bp","No acid",18.1304872273333,2024-09-20 21:00:00,2024-09-20,16,19.5,292.65,2280,0.38465,7.54994039048326e-10,0.0626828103870092,380.226551468564
58,34.8682600576667,2,29.6438794,2024-09-20 17:00:00,2.41666666666667,"0-bp","No acid",-5.22438065766667,2024-09-20 22:00:00,2024-09-20,17,18.8,291.95,2280,0.38465,-2.180765205361e-10,-0.0181056385608735,213.862176920308
58,34.8682600576667,6,36.602991249,2024-09-20 17:00:00,2.41666666666667,"0-bp","No acid",1.73473119133333,2024-09-20 22:00:00,2024-09-20,17,18.8,291.95,2280,0.38465,7.24112898849096e-11,0.00601189270243233,294.402370728412
58,34.8682600576667,14,54.875266014,2024-09-20 18:00:00,2.41666666666667,"0-bp","No acid",20.0070059563333,2024-09-20 23:00:00,2024-09-20,18,16.8,289.95,2280,0.38465,8.40894601459592e-10,0.0698146397621788,388.176398477515
61,33.0458758733333,2,28.02044061,2024-09-20 19:00:00,2.54166666666667,"0-bp","No acid",-5.02543526333333,2024-09-21,2024-09-20,19,14.7,287.85,2280,0.38465,-2.12760021259292e-10,-0.0176642402201517,210.642887830016
61,33.0458758733333,6,36.982920784,2024-09-20 20:00:00,2.54166666666667,"0-bp","No acid",3.93704491066667,2024-09-21 01:00:00,2024-09-20,20,13.8,286.95,2280,0.38465,1.67204020402166e-10,0.013881987624731,296.192819957857
61,33.0458758733333,14,53.732871004,2024-09-20 21:00:00,2.54166666666667,"0-bp","No acid",20.6869951306667,2024-09-21 02:00:00,2024-09-20,21,13.5,286.65,2280,0.38465,8.79484200717946e-10,0.0730185121215833,401.031382147054
63,32.649206875,2,28.172795862,2024-09-20 22:00:00,2.625,"0-bp","No acid",-4.476411013,2024-09-21 03:00:00,2024-09-20,22,12.9,286.05,2280,0.38465,-1.90708732358342e-10,-0.0158334485986579,208.633026500887
63,32.649206875,6,36.845733253,2024-09-20 22:00:00,2.625,"0-bp","No acid",4.19652637799999,2024-09-21 03:00:00,2024-09-20,22,12.9,286.05,2280,0.38465,1.78784795125496e-10,0.0148434727074904,297.91634757779
63,32.649206875,14,52.742581408,2024-09-20 23:00:00,2.625,"0-bp","No acid",20.093374533,2024-09-21 04:00:00,2024-09-20,23,12.4,285.55,2280,0.38465,8.57537835884062e-10,0.0711964317415838,409.684278778844
66,32.597607077,2,28.430737778,2024-09-21,2.75,"0-bp","No acid",-4.166869299,2024-09-21 05:00:00,2024-09-21,0,11.7,284.85,2280,0.38465,-1.78269165071234e-10,-0.0148006629113204,205.875956464989
66,32.597607077,6,37.373172358,2024-09-21 01:00:00,2.75,"0-bp","No acid",4.775565281,2024-09-21 06:00:00,2024-09-21,1,11.5,284.65,2280,0.38465,2.04454264734166e-10,0.0169746610520282,300.779979616147
66,32.597607077,14,53.333061828,2024-09-21 02:00:00,2.75,"0-bp","No acid",20.735454751,2024-09-21 07:00:00,2024-09-21,2,11.4,284.55,2280,0.38465,8.8805026944779e-10,0.0737297035140765,422.727630951853
68,46.9775326253333,2,34.874364428,2024-09-21 03:00:00,2.83333333333333,"0-bp","No acid",-12.1031681973333,2024-09-21 08:00:00,2024-09-21,3,11.3,284.45,2280,0.38465,-5.18532171386964e-10,-0.0430507422543143,202.404872155051
68,46.9775326253333,6,54.47427311,2024-09-21 03:00:00,2.83333333333333,"0-bp","No acid",7.49674048466667,2024-09-21 08:00:00,2024-09-21,3,11.3,284.45,2280,0.38465,3.21180459401964e-10,0.0266657652848265,303.398405196358
68,46.9775326253333,14,102.05995262,2024-09-21 04:00:00,2.83333333333333,"0-bp","No acid",55.0824199946667,2024-09-21 09:00:00,2024-09-21,4,11.4,284.55,2280,0.38465,2.35904919884822e-09,0.195858279638104,438.902909940984
71,91.4940442133333,2,94.804501789,2024-09-21 05:00:00,2.95833333333333,"0-bp","No acid",3.31045757566666,2024-09-21 10:00:00,2024-09-21,5,11.1,284.25,2280,0.38465,1.41928668763903e-10,0.0117835206272919,199.590822208619
71,91.4940442133333,6,95.402481634,2024-09-21 06:00:00,2.95833333333333,"0-bp","No acid",3.90843742066666,2024-09-21 11:00:00,2024-09-21,6,10.9,284.05,2280,0.38465,1.67683737374312e-10,0.0139218157643577,307.051287490785
71,91.4940442133333,14,147.97140728,2024-09-21 07:00:00,2.95833333333333,"0-bp","No acid",56.4773630666667,2024-09-21 12:00:00,2024-09-21,7,11.1,284.25,2280,0.38465,2.42134411093712e-09,0.20103026770766,474.622879202103
73,101.379962910667,2,106.05186912,2024-09-21 08:00:00,3.04166666666667,"0-bp","No acid",4.67190620933334,2024-09-21 13:00:00,2024-09-21,8,11.8,284.95,2280,0.38465,1.99805772090905e-10,0.0165887234579907,201.293156853736
73,101.379962910667,6,97.03455336,2024-09-21 08:00:00,3.04166666666667,"0-bp","No acid",-4.34540955066666,2024-09-21 13:00:00,2024-09-21,8,11.8,284.95,2280,0.38465,-1.85842324614226e-10,-0.0154294187678068,306.960831310578
73,101.379962910667,14,167.09397575,2024-09-21 09:00:00,3.04166666666667,"0-bp","No acid",65.7140128393333,2024-09-21 14:00:00,2024-09-21,9,12.6,285.75,2280,0.38465,2.80255616688827e-09,0.232680110997216,500.645501924396
76,68.197970224,2,77.696535265,2024-09-21 10:00:00,3.16666666666667,"0-bp","No acid",9.49856504099999,2024-09-21 15:00:00,2024-09-21,10,14,287.15,2280,0.38465,4.0311759674835e-10,0.0334685342847141,205.798310050579
76,68.197970224,6,71.395470433,2024-09-21 11:00:00,3.16666666666667,"0-bp","No acid",3.197500209,2024-09-21 16:00:00,2024-09-21,11,16,289.15,2280,0.38465,1.34762779837271e-10,0.0111885781064097,306.579155651052
76,68.197970224,14,106.98851426,2024-09-21 12:00:00,3.16666666666667,"0-bp","No acid",38.790544036,2024-09-21 17:00:00,2024-09-21,12,18.8,291.95,2280,0.38465,1.6191980308057e-09,0.134432694689812,533.685654436228
78,45.130487567,2,41.392817779,2024-09-21 13:00:00,3.25,"0-bp","No acid",-3.737669788,2024-09-21 18:00:00,2024-09-21,13,20.2,293.35,2280,0.38465,-1.55273525399124e-10,-0.0128914672796413,207.032934070884
78,45.130487567,6,37.895030585,2024-09-21 13:00:00,3.25,"0-bp","No acid",-7.235456982,2024-09-21 18:00:00,2024-09-21,13,20.2,293.35,2280,0.38465,-3.00581639682517e-10,-0.0249555638211198,305.753136508169
78,45.130487567,14,60.432420663,2024-09-21 14:00:00,3.25,"0-bp","No acid",15.301933096,2024-09-21 19:00:00,2024-09-21,14,20.7,293.85,2280,0.38465,6.34604547247745e-10,0.05268756367402,544.912869938058
81,32.4939601013333,2,27.287429717,2024-09-21 15:00:00,3.375,"0-bp","No acid",-5.20653038433333,2024-09-21 20:00:00,2024-09-21,15,20.9,294.05,2280,0.38465,-2.15779309708485e-10,-0.017914914365345,204.260359722835
81,32.4939601013333,6,27.885049126,2024-09-21 16:00:00,3.375,"0-bp","No acid",-4.60891097533333,2024-09-21 21:00:00,2024-09-21,16,20.2,293.35,2280,0.38465,-1.91467383686041e-10,-0.0158964350526755,302.076456609528
81,32.4939601013333,14,47.963193812,2024-09-21 17:00:00,3.375,"0-bp","No acid",15.4692337106667,2024-09-21 22:00:00,2024-09-21,17,18.7,291.85,2280,0.38465,6.4593925636677e-10,0.0536286193456585,554.481326409829
84,31.6417662976667,2,21.521128417,2024-09-21 18:00:00,3.5,"0-bp","No acid",-10.1206378806667,2024-09-21 23:00:00,2024-09-21,18,16.8,289.95,2280,0.38465,-4.25370481508055e-10,-0.0353160632502604,199.46957173743
84,31.6417662976667,6,26.779977966,2024-09-21 18:00:00,3.5,"0-bp","No acid",-4.86178833166667,2024-09-21 23:00:00,2024-09-21,18,16.8,289.95,2280,0.38465,-2.04340997871477e-10,-0.0169652571562226,299.118904310727
84,31.6417662976667,14,42.350070412,2024-09-21 19:00:00,3.5,"0-bp","No acid",10.7083041143333,2024-09-22,2024-09-21,19,15.2,288.35,2280,0.38465,4.5256745190497e-10,0.0375740711951175,562.689568558499
86,28.9644138903333,2,20.290809011,2024-09-21 20:00:00,3.58333333333333,"0-bp","No acid",-8.67360487933333,2024-09-22 01:00:00,2024-09-21,20,14,287.15,2280,0.38465,-3.68106418075705e-10,-0.030561757594226,195.516902486761
86,28.9644138903333,6,26.766626677,2024-09-21 21:00:00,3.58333333333333,"0-bp","No acid",-2.19778721333333,2024-09-22 02:00:00,2024-09-21,21,13.3,286.45,2280,0.38465,-9.35016751684935e-11,-0.00776290602617493,297.635214519783
86,28.9644138903333,14,44.330296474,2024-09-21 22:00:00,3.58333333333333,"0-bp","No acid",15.3658825836667,2024-09-22 03:00:00,2024-09-21,22,12.8,285.95,2280,0.38465,6.54862294352184e-10,0.0543694478412329,568.20617970068
89,29.2923144593333,2,21.234082914,2024-09-21 23:00:00,3.70833333333333,"0-bp","No acid",-8.05823154533334,2024-09-22 04:00:00,2024-09-21,23,12.7,285.85,2280,0.38465,-3.43545387241127e-10,-0.0285225965424991,190.199310614456
89,29.2923144593333,6,27.354913142,2024-09-21 23:00:00,3.70833333333333,"0-bp","No acid",-1.93740131733333,2024-09-22 04:00:00,2024-09-21,23,12.7,285.85,2280,0.38465,-8.25969422770188e-11,-0.00685754880637636,296.319373584854
89,29.2923144593333,14,41.414195712,2024-09-22,3.70833333333333,"0-bp","No acid",12.1218812526667,2024-09-22 05:00:00,2024-09-22,0,12.4,285.55,2280,0.38465,5.17333303033961e-10,0.0429512071139508,576.965038646646
91,36.3392448873333,2,19.513175935,2024-09-22 01:00:00,3.79166666666667,"0-bp","No acid",-16.8260689523333,2024-09-22 06:00:00,2024-09-22,1,11,284.15,2280,0.38465,-7.21634985276591e-10,-0.0599132001197553,184.893162814721
91,36.3392448873333,6,27.139715548,2024-09-22 02:00:00,3.79166666666667,"0-bp","No acid",-9.19952933933333,2024-09-22 07:00:00,2024-09-22,2,10.8,283.95,2280,0.38465,-3.94826516151979e-10,-0.0327801735745013,293.941110242001
91,36.3392448873333,14,56.152090384,2024-09-22 03:00:00,3.79166666666667,"0-bp","No acid",19.8128454966667,2024-09-22 08:00:00,2024-09-22,3,10.9,284.05,2280,0.38465,8.50030747155777e-10,0.0705731613646327,583.776500755361
94,69.8679891436667,2,85.799292347,2024-09-22 04:00:00,3.91666666666667,"0-bp","No acid",15.9313032033333,2024-09-22 09:00:00,2024-09-22,4,10.8,283.95,2280,0.38465,6.83741603457813e-10,0.0567671306879184,184.610016565855
94,69.8679891436667,6,89.394200259,2024-09-22 04:00:00,3.91666666666667,"0-bp","No acid",19.5262111153333,2024-09-22 09:00:00,2024-09-22,4,10.8,283.95,2280,0.38465,8.38028297312197e-10,0.0695766670232031,297.252794652384
94,69.8679891436667,14,109.80753616,2024-09-22 06:00:00,3.91666666666667,"0-bp","No acid",39.9395470163333,2024-09-22 11:00:00,2024-09-22,6,9.4,282.55,2280,0.38465,1.72262362569517e-09,0.14301952666241,602.999842677795
96,82.3232452366667,2,82.459228265,2024-09-22 06:00:00,4,"0-bp","No acid",0.135983028333328,2024-09-22 11:00:00,2024-09-22,6,9.4,282.55,2280,0.38465,5.86505343199739e-12,0.000486941635527321,188.045260905262
